Wavelength (nm),Sensitivity (A/W)
1087,0.13778
1088,0.13485
1089,0.13191
1090,0.12898
1091,0.12441
1092,0.11872
1093,0.11302
1094,0.10732
1095,0.10224
1096,0.09872
1097,0.0952
1098,0.09168
1099,0.08816
1100,0.08464
